file,domain,domain_canon,OAAS1,OAAS2,OAAS3,d_pos_euclid,d_neg_euclid
Barren__SW__01.wav,vocalization,vocalization,-1.3065006961442365,0.6643889184480695,0.0291689587021219,1.8380505504340068,2.262128459834583
Barren__SW__02.wav,vocalization,vocalization,-1.300882927710072,0.6542084321209958,0.027344342639029,1.844825675793889,2.2664293805241726
BeforeNursing__SW__01.wav,vocalization,vocalization,-0.2922050822597513,3.0221539943609432,0.1409542140994785,0.7415278099723912,0.7556579340775397
BeforeNursing__SW__02.wav,vocalization,vocalization,-0.2954382376960834,3.012921388784592,0.1374162268421566,0.7318265706027638,0.7496051449621424
Castration__SW__01.wav,vocalization,vocalization,0.6501430349124923,3.3560331761790763,-0.0024176783316264,1.5592450492717909,1.081198509581227
Castration__SW__02.wav,vocalization,vocalization,0.646460221696735,3.327909944181866,-0.0050195230100986,1.5380282972060575,1.0549335425106219
Crushing__SW__01.wav,vocalization,vocalization,0.4224627460523301,2.9072420489595765,0.0977682149861981,1.096517529149586,0.5785209154589609
Crushing__SW__02.wav,vocalization,vocalization,0.4331411998241004,2.907354065862044,0.0841649333502178,1.1062779804823932,0.5830933617703276
Enriched__SW__01.wav,vocalization,vocalization,-1.0227072966314152,1.4043788853636814,0.1616851798272741,1.0473604873190647,1.536066295524653
Enriched__SW__02.wav,vocalization,vocalization,-1.0192937414882723,1.4269981672461796,0.1650325870652962,1.0261766004915365,1.5190532716735863
Fighting__SW__01.wav,vocalization,vocalization,0.3454602151112547,2.67533596950557,0.0211066991673867,0.926006362340651,0.34217396258240335
Fighting__SW__02.wav,vocalization,vocalization,0.333014551050536,2.677163770394756,0.0271325318846792,0.9146189120501477,0.33566949717458056
Huddling__SW__01.wav,vocalization,vocalization,-0.278840852667629,2.266418880509072,0.1134171055007872,0.22350007151053725,0.4424747348384968
Huddling__SW__02.wav,vocalization,vocalization,-0.2823655191520475,2.2828937199085586,0.1183489062674955,0.2166933652800916,0.4415957582385618
LongIsolation__SW__01.wav,vocalization,vocalization,0.1692976943986189,1.9745326409514723,0.1236954113621963,0.7441094507342018,0.43852199122740554
LongIsolation__SW__02.wav,vocalization,vocalization,0.2875413860996189,2.131835247360742,0.1346922695371173,0.802356733084849,0.32342577748915086
MissedNursing__SW__01.wav,vocalization,vocalization,-0.113320859891498,2.740464094052476,0.1468041776667622,0.5760186996573556,0.42772704375172765
MissedNursing__SW__02.wav,vocalization,vocalization,-0.1071526877108738,2.728327665559757,0.1405980155977676,0.5712428517129954,0.4133018426533219
NegativeConditioning__SW__01.wav,vocalization,vocalization,-1.6115699490083664,0.0792350099618692,0.042233567451418,2.49614020549643,2.9105338326329337
NegativeConditioning__SW__02.wav,vocalization,vocalization,-1.62030377729019,0.1020999198419652,0.0490162706473327,2.4793980044358648,2.897555206032051
NovelObject__SW__01.wav,vocalization,vocalization,0.216452309588236,1.0989827816242983,-0.0350640291613968,1.4159515705967436,1.3126203581242213
NovelObject__SW__02.wav,vocalization,vocalization,0.224085940569229,1.116648887918128,-0.0303240236323314,1.4041535057106909,1.2952052555161424
PositiveConditioning__SW__01.wav,vocalization,vocalization,-1.6288973252546903,0.2733971687476041,0.1003686077749693,2.330704054815703,2.769160132585087
PositiveConditioning__SW__02.wav,vocalization,vocalization,-1.6275556554743809,0.2805071879155043,0.1020889509537426,2.3238051610043513,2.7628605390471983
Restrain__SW__01.wav,vocalization,vocalization,0.7580423219050108,3.035057111615391,-0.1028619439210101,1.4703495541264526,0.8977918069309659
Restrain__SW__02.wav,vocalization,vocalization,0.829310220399046,2.985981894112458,-0.1235678710909554,1.5125179120961951,0.9204691777764192
Run__SW__01.wav,vocalization,vocalization,-0.7965101039324537,1.9810930271926936,0.0636948548834376,0.45419505655461395,1.0255069852678806
Run__SW__02.wav,vocalization,vocalization,-0.7948146084353976,1.9957086081506952,0.0696788100341269,0.4414543973661096,1.0180609680900803
ShortIsolation__SW__01.wav,vocalization,vocalization,0.0828167734616437,1.846764320874256,0.1244169251414676,0.7403003813525606,0.5664524877295615
ShortIsolation__SW__02.wav,vocalization,vocalization,0.0572253964670032,1.886243959261348,0.1337161581697182,0.6955376220214134,0.5320461487650134
ShortReunion__SW__01.wav,vocalization,vocalization,0.3374940284454479,3.1051500427349463,0.2221975053199616,1.1539720456356184,0.7465435912724795
ShortReunion__SW__02.wav,vocalization,vocalization,0.3349752384611582,3.092357559691321,0.2174224385354086,1.1430705072996858,0.7328128968047178
Surprise__SW__01.wav,vocalization,vocalization,-0.6391467493080365,1.117535111020706,0.0579405611954019,1.2037911196019724,1.5041753571997984
Surprise__SW__02.wav,vocalization,vocalization,-0.6365480878929355,1.131467581437524,0.0613140744712089,1.1894293212002809,1.490920913641294
brown_noise_01_180s.wav,noise_reference,noise_reference,5.136008311382991,-3.3542969290197058,-14.25669570205524,16.47392524423555,16.21601885739192
pink_noise_02_180s.wav,noise_reference,noise_reference,32.76788361153326,-3.326377666860816,-9.19224258285685,35.00686685702928,34.396824341497904
white_noise_03_180s.wav,noise_reference,noise_reference,40.64052373045098,-3.056504315642133,-7.851388005381592,42.2487921263462,41.62798739757573
